,company,title,location,job posted date,job salary,summary,Experince Level,City,State,Manager,Engineer
40,American Unit,Data Protection Analyst,"New York, NY", 6 days ago,$60 - $65 an hour,Symantec is the biggest must have - otherwise need 10+ years of endpoint protection exp.Symantec SME manage security tools production support any antimalware…,Entry Level,New York, NY,0,0
41,DISYS,Junior Data Analyst,"Brandon, FL+18 locations",PostedToday,$26 an hour,"Provide quality assurance of imported data, working with quality assurance analyst if necessary.Supporting initiatives for data integrity and normalization.",Entry Level,Brandon, FL+18 locations,0,0
42,DFS,Data Analyst - Entry Level,"Wilmington, DE 19801 (Southbridge area)",PostedToday,$16 - $19 an hour,"We are seeking candidates interested in starting careers as a claims analyst!*.Ideal candidates are willing to go the extra mile, thrive in a fast paced…",Entry Level,Wilmington, DE 19801 (Southbridge area),0,0
43,Saybrus Partners,Saybrus Partners- Data Reporting Analyst,Remote, 2 days ago,$49629 - $60000 a year,High level comprehension of data being fed into Firm systems from multiple third-parties and can manipulate critical data to ensure it is fed correctly into…,Entry Level,Remote,,0,0
44,The Quaker School at Horsham,Behavior Analyst (BCBA)/Behavior Specialist (LBS),"Horsham, PA 19044+1 location", 7 days ago,$65000 a year,Manage ongoing data collection in the established behavioral health software to establish baseline and analyze data on a frequent and ongoing basis to guide…,Entry Level,Horsham, PA 19044+1 location,0,0
45,Zenni Optical,Data Engineer/Analyst,"Novato, CA",Posted30+ days ago,Full-time,"1-3 years data analyst experience.Analyze data requirements, map current systems and formats to logical and physical data models.",Entry Level,Novato, CA,0,1
46,Dow Jones,Data Analyst,"New York, NY 10176 (Murray Hill area)+3 locations",Posted30+ days ago,Full-time,"Experience cleaning and manipulating messy data.The insights discovered by this data analyst will be presented to senior editors, product managers, and…",Entry Level,New York, NY 10176 (Murray Hill area)+3 locations,0,0
47,Goodway Technologies,Business Analyst,"Stamford, CT 06902 (Waterside area)", 3 days ago,$85000 - $95000 a year,Use data to create models that optimize purchasing patterns based upon historical data and forecast trends.Monitor databases for accuracy and data integrity.,Entry Level,Stamford, CT 06902 (Waterside area),0,0
48,CMK Select,Technical Data Analyst / Manager,Remote,Posted30+ days ago,$65 - $70 an hour,While this sounds simplistic transferring data in this size and quantity often causes data discrepancies.This resource needs to be the first set of eyes to…,Entry Level,Remote,,1,0
49,Orgspire Info Technologies Pvt. Ltd.,Informatica (ETL) Data Analyst,Remote,PostedJust posted,$47 - $52 an hour,"Work Authorization: * Only Independent Contractors.Key Skills: * Informatica (ETL), Data analysis.Strong Data Analyst experience ~ 4+ years.",Mid Level,Remote,,0,0
50,Anthem Sports & Entertainment,Data Analyst,Temporarily Remote,PostedJust posted,Up to $75000 a year,The successful candidate will have a minimum of 3-5 years previous experience as a Digital Business Analyst.Coordinate onboarding of new channels.,Mid Level,Temporarily Remote,,0,0
51,Infipact,Data Analyst,Remote,Posted7 days ago,$50 - $55 an hour,"Location : - Fremont, CA (Remote until Covid subsides).5+ years of exp in writing complex SQL queries- strong SQL experience.Job Types: Full-time, Contract.",Mid Level,Remote,,0,0
52,Matlen Silver,Data Analyst,"Houston, TX+4 locations",PostedJust posted,$52 - $56 an hour,"Experience analyzing weblog data a plus.Lead and help develop more junior analysts.Duration: 6 + Month Contract.Location: Houston, TX 77002 (HYBRID).",Mid Level,Houston, TX+4 locations,0,0
53,Tellus Solutions,Research Analyst I -Multi-omics data analysis REMOTE,Remote,Posted4 days ago,Up to $35 an hour,Prepare each dataset by using data wrangling or data analysis tools or pipelines to generate normalized data matrices or intermediate analysis results.,Mid Level,Remote,,0,0
54,Right Skale Inc.,Data Engineer/Analyst (SQL/ Tableau) – Long Term Contract –...,Remote,Posted4 days ago,$55 - $70 an hour,Develop and optimize data architecture to support the data needs of our rapidly-growing business.Prior experience in creating reports from Salesforce and…,Mid Level,Remote,,0,1
55,Wellthy,Senior Data Analyst,Remote, 5 days ago,$95000 - $136800 a year,You know how to collaborate with data engineers and business stakeholders to design data transformations to better support reporting and analysis and optimize…,Mid Level,Remote,,0,0
56,The Mom Project,Data Analyst,"Menlo Park, CA+5 locations",Posted1 day ago,$68.37 an hour,"Solutions and detail-oriented, with data acumen.Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide…",Mid Level,Menlo Park, CA+5 locations,0,0
57,UtiliSave LLC,Junior Data Analyst,Remote,Posted1 day ago,$40000 - $45000 a year,"Requirements* *3-5 years of experience in a relevant auditing or analyst role.*.Competitive salary commensurate with experience; excellent health, dental and…",Mid Level,Remote,,0,0
58,TikTok,TikTok LIVE Data Analyst,"Los Angeles, CA+11 locations",PostedToday,,"Assist in creating data best practices and documentation to help streamline data operations.Advanced proficiency in data manipulation including SQL, python or…",Mid Level,Los Angeles, CA+11 locations,0,0
59,"Peachjar, Inc.",Data Analyst (Remote within U.S.),"Remote in San Diego, CA",Posted10 days ago,Full-time,"Technical proficiency regarding database design, data models and techniques for data mining and segmentation.3+ years of data experience.",Mid Level,Remote in San Diego, CA,0,0
60,SpanIdea Systems,Data Analyst,"Fremont, CA", 7 days ago,$80000 - $110000 a year,"Experience in Managing End-to-End Tableau projects from data source setup, data extraction, charts selection, and setup tableau dashboards.",Mid Level,Fremont, CA,0,0
61,Zettalogix Inc,Data Analyst,Remote, 3 days ago,$50 - $75 an hour,"Develop and implement data analytics, data collection systems, and other strategies that optimize statistical efficiency and quality.",Mid Level,Remote,,0,0
62,"KAT TECH Systems, Inc.",Data Analyst,Remote, 3 days ago,$50 - $75 an hour,"Gain a deep understanding of the data model, critical data entities and data elements in the.Data warehouse, data marts, and related databases.",Mid Level,Remote,,0,0
63,RYAN Consulting Group,Data Analyst,+1 locationRemote, 8 days ago,$25 - $28 an hour,"Ability to pull and analyze data, manipulate data.We need a Data Analyst that has 1 - 3 years of experience.The role is fully remote.",Mid Level,+1 locationRemote,,0,0
64,Orgspire Info Technologies Pvt. Ltd.,Informatica (ETL) Data Analyst,Remote,PostedJust posted,$47 - $52 an hour,"Key Skills: * Informatica (ETL), Data analysis.Strong Data Analyst experience ~ 4+ years.ETL background ( informatica/datastage / IICS).",Mid Level,Remote,,0,0
65,Infipact,Data Analyst,Remote,Posted7 days ago,$50 - $55 an hour,"5+ years of exp in writing complex SQL queries- strong SQL experience.5+ years of work experience on Oracle platform.Job Types: Full-time, Contract.",Mid Level,Remote,,0,0
66,Matlen Silver,Data Analyst,"Houston, TX+1 location",PostedJust posted,$52 - $56 an hour,Experience analyzing weblog data a plus.Lead and help develop more junior analysts.Apply statistical modeling or machine learning algorithms to optimize…,Mid Level,Houston, TX+1 location,0,0
67,TikTok,TikTok LIVE Data Analyst,"Los Angeles, CA+10 locations",PostedToday,,"Assist in creating data best practices and documentation to help streamline data operations.Advanced proficiency in data manipulation including SQL, python or…",Mid Level,Los Angeles, CA+10 locations,0,0
68,RYAN Consulting Group,Data Analyst,Remote, 8 days ago,$25 - $28 an hour,"Ability to pull and analyze data, manipulate data.We need a Data Analyst that has 1 - 3 years of experience.Ideal experience for the Data Analyst: *.",Mid Level,Remote,,0,0
69,Keypoint Intelligence,Data Analyst/ETL Specialist,"Boston, MA+1 location",Posted4 days ago,$70000 - $120000 a year,"This individual will primarily be tasked with managing various internal data sets, from the initial ETL workflows required to integrate the content into our…",Mid Level,Boston, MA+1 location,0,0
70,LOVEFOODIES INC,Data Analyst,"San Francisco, CA", 2 days ago,$30 - $55 an hour,"SQL. SQL, or Structured Query Language, is the ubiquitous industry-standard database language.Data pipelines in python is required.",Mid Level,San Francisco, CA,0,0
71,W.D.C. Kitchen & Bath Center,Data Analyst,"Moorpark, CA 93021+2 locations",Posted3 days ago,$23 - $25 an hour,Identify inventory differences between physical stock and digital data.Use sales data to forecast & identify trends.Microsoft Excel: 3 years (Preferred).,Mid Level,Moorpark, CA 93021+2 locations,0,0
72,Internal Data Resources,Data Analyst,Remote,Posted1 day ago,Full-time,2+ years of SQL querying data and building data pipelines.Creating end-to-end data pipelines and ETL solutions to create accessible data sets.,Mid Level,Remote,,0,0
73,Connecticut Conference of Municipalities (CCM),Business Intelligence & Data Analyst,"Temporarily Remote in New Haven, CT", 5 days ago,From $50 an hour,Leverage data warehouse and other data sources for business reporting needs.Design and develop complex ETL logic to extend and publish data marts in enterprise…,Mid Level,Temporarily Remote in New Haven, CT,0,0
74,Peraton,Data Analyst - Medicare,"Chantilly, VA+2 locations",PostedToday,Up to $116626 a year,Bachelor's degree and 5-7 Years or Master's degree and 3-5 or PhD 0-2 additional years.We are seeking Data Analyst - Medicare position requires the individual…,Mid Level,Chantilly, VA+2 locations,0,0
75,The Mom Project,Data Analyst,"Menlo Park, CA+3 locations",Posted1 day ago,$68.37 an hour,"Solutions and detail-oriented, with data acumen.Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide…",Mid Level,Menlo Park, CA+3 locations,0,0
76,Kidney Specialists Of Southern Nevada,Healthcare Data Analyst,"Las Vegas, NV 89106 (Rancho Charleston area)", 6 days ago,Full-time,Models data using analytical tools.Preferred experience with claims data analysis.Analyzes data to assist in delivering optimal healthcare management and…,Mid Level,Las Vegas, NV 89106 (Rancho Charleston area),0,0
77,Verizon,Business Intelligence Measurement Manager - Brand & Sponsors...,"Summit, NJ 07902+65 locations",Posted26 days ago,Part-time,The end goal is to ensure strategic and tactical marketing decisions are informed by data-driven insights.Build and manage day-to-day marketing effectiveness…,Mid Level,Summit, NJ 07902+65 locations,1,0
78,American Clouds,Data Analyst,"Remote in New York, NY", 2 days ago,From $35 an hour,"3-5 years of experience working with extremely large datasets, pulling analysis and optimization ETL processing and Machine learning pipelines.",Mid Level,Remote in New York, NY,0,0
79,Rello Search Partners,Data Analyst,"Tampa, FL",PostedJust posted,$75000 - $90000 a year,"Perform trend analysis, analyze data of customers.Rello Search Partners* is searching for a full time Data Analyst with our client in the Tampa area.",Mid Level,Tampa, FL,0,0
80,The Mom Project,Data Analyst,"Menlo Park, CA+2 locations",Posted1 day ago,$68.37 an hour,"Solutions and detail-oriented, with data acumen.Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide…",Mid Level,Menlo Park, CA+2 locations,0,0
81,Oculus,Manufacturing and Supply Chain Data Analyst,+1 locationRemote,Posted7 days ago,,"Aggregation and reporting of manufacturing systems and process data, including MES data, shop floor trend data (equipment and process), metrology raw data,…",Mid Level,+1 locationRemote,,0,0
82,Matlen Silver,Data Analyst,"Houston, TX+4 locations",PostedJust posted,$52 - $56 an hour,Experience analyzing weblog data a plus.Lead and help develop more junior analysts.Apply statistical modeling or machine learning algorithms to optimize…,Mid Level,Houston, TX+4 locations,0,0
83,RYAN Consulting Group,Data Analyst,+1 locationRemote, 8 days ago,$25 - $28 an hour,"Ability to pull and analyze data, manipulate data.We need a Data Analyst that has 1 - 3 years of experience.Ideal experience for the Data Analyst: *.",Mid Level,+1 locationRemote,,0,0
84,"Prime Trust, LLC",Data Analyst I,+1 locationRemote, 2 days ago,$70000 - $75000 a year,About Prime Trust Prime Trust is a technology-driven institution that provides open banking solutions for FinTech innovators. We power financial…,Mid Level,+1 locationRemote,,0,0
85,Orgspire Info Technologies Pvt. Ltd.,Informatica (ETL) Data Analyst,Remote,PostedJust posted,$47 - $52 an hour,"*Work Authorization: * Only Independent Contractors *Key Skills: * Informatica (ETL), Data analysis * Strong Data Analyst experience ~ 4+ years * ETL…",Mid Level,Remote,,0,0
86,"Paragon Insurance Holdings, LLC.",Insurance Data Analyst,"Temporarily Remote in Avon, CT", 6 days ago,$85000 - $100000 a year,"Insurance Data Analyst Paragon Insurance Holdings, LLC *_Paragon Insurance Holdings LLC is a managing general agent in the property and casualty…",Mid Level,Temporarily Remote in Avon, CT,0,0
87,Anthem Sports & Entertainment,Data Analyst,Temporarily Remote,PostedJust posted,Up to $75000 a year,Anthem Sports and Entertainment has an opening in our Digital Content department for a Data Librarian: *Job Responsibilities: * · Responsible for reaching…,Mid Level,Temporarily Remote,,0,0
88,Infipact,Data Analyst,Remote,Posted7 days ago,$50 - $55 an hour,"*Position 2 : - Data Analyst* Location : - Fremont, CA (Remote until Covid subsides) * 5+ years of exp in writing complex SQL queries- strong SQL experience …",Mid Level,Remote,,0,0
89,Matlen Silver,Data Analyst,"Houston, TX+1 location",PostedJust posted,$52 - $56 an hour,"Job Title: Data Analyst Duration: 6 + Month Contract Location: Houston, TX 77002 (HYBRID) W2: $52-$56/hour Responsibilities: Essential Duties/Responsibilities…",Mid Level,Houston, TX+1 location,0,0
90,"Orgill, Inc.",Purchasing Data Analyst,"Collierville, TN 38017+1 location", 12 days ago,Full-time,Great Benefits! Great Team! Great Company! Interested in receiving exceptional benefits? Want to work with a dynamic Product Data team? Then Orgill is the…,Mid Level,Collierville, TN 38017+1 location,0,0
91,Uline,Operations Analyst - Customer Service,"Kenosha, WI 53144+2 locations",Posted30+ days ago,,"Operations Analyst - Customer Service Milwaukee Branch 12355 Uline Way, Kenosha, WI 53144 Customer Service is the heartbeat of our company. We depend on our…",Mid Level,Kenosha, WI 53144+2 locations,0,0
92,Tellus Solutions,Research Analyst I -Multi-omics data analysis REMOTE,Remote,Posted4 days ago,Up to $35 an hour,Job description: * The Immunology Systems Computational Biology (SysComp) Group at the client Cambridge Research Center (CRC) performs computational research…,Mid Level,Remote,,0,0
93,Right Skale Inc.,Data Engineer/Analyst (SQL/ Tableau) – Long Term Contract –...,Remote,Posted4 days ago,$55 - $70 an hour,*Data Engineer/Analyst (SQL/ Tableau) – Long Term Contract – 100% Remote* We are looking to hire a strong Data Engineer/Analyst for our client based in the…,Mid Level,Remote,,0,1
94,Maryland Hospital Association,"Data Analyst, Strategic Analytics","Hybrid remote in Elkridge, MD", 12 days ago,Full-time,"DATA ANALYST, STRATEGIC ANALYTICS The mission of the Maryland Hospital Association (MHA) is to serve Maryland’s hospitals and health systems through…",Mid Level,Hybrid remote in Elkridge, MD,0,0
95,Wellthy,Senior Data Analyst,Remote, 5 days ago,$95000 - $136800 a year,"*Why Wellthy is for you!* Wellthy is a digital care concierge for families with chronic, complex, and ongoing care needs. By tackling the logistical aspects…",Mid Level,Remote,,0,0
96,Greensboro Housing Authority,Data Analyst,"Greensboro, NC 27401 (Fisher Park area)",Posted30+ days ago,Full-time,"Job Opening: DATA ANALYST Greensboro Housing Authority seeks an enthusiastic, career-minded individual with a strong work ethic and commitment to teamwork…",Mid Level,Greensboro, NC 27401 (Fisher Park area),0,0
97,Kerry,Master Data Analyst,"Jackson, WI 53037",PostedToday,Full-time,"Requisition ID 35665 Position Type (US)Full Time Career Function Supply Chain Recruiter Posting Type LI Leading to better encompasses all we do at Kerry, it…",Mid Level,Jackson, WI 53037,0,0
98,Rello Search Partners,Data Analyst,"Tampa, FL",PostedJust posted,$75000 - $90000 a year,Rello Search Partners is searching for a full time Data Analyst with our client in the Tampa area. This company is private equity owned and growing quickly…,Mid Level,Tampa, FL,0,0
99,Matlen Silver,Data Analyst,"Houston, TX+1 location",PostedJust posted,$52 - $56 an hour,"Experience analyzing weblog data a plus.Lead and help develop more junior analysts.Duration: 6 + Month Contract.Location: Houston, TX 77002 (HYBRID).",Mid Level,Houston, TX+1 location,0,0
100,RYAN Consulting Group,Data Analyst,Remote, 8 days ago,$25 - $28 an hour,"Ability to pull and analyze data, manipulate data.We need a Data Analyst that has 1 - 3 years of experience.The role is fully remote.",Mid Level,Remote,,0,0
101,Targa Resources,EAM Data Analyst,"Oklahoma City, OK",Posted18 days ago,,"Create and maintain Maximo data sets and identify added value to existing data sets.Proactively discover hidden relationships within data, solving difficult…",Mid Level,Oklahoma City, OK,0,0
102,Cardea Bio,Data Analyst,"San Diego, CA 92121 (Miramar area)", 2 days ago,$80000 - $108000 a year,"The ideal candidate for this role will have a passion for a detail oriented, statistical approach to scientific data analysis.Able to work full time.",Mid Level,San Diego, CA 92121 (Miramar area),0,0
103,University of Maryland,"Data Analyst, Energy and Utilities","College Park, MD 20742",Posted17 days ago,$52691 - $65864 a year,"Support data collection, reporting (both internally to E&E groups and DGS) along with evaluating anomalies and irregular consumption in utility data.",Mid Level,College Park, MD 20742,0,0
104,Climax Metal Products Company,Junior Business Data Analyst,"Mentor, OH 44060", 2 days ago,$35000 - $50000 a year,Perform data transitions from ERP to CRM.Prepare data for trade shows and customer events.Prepare daily data tracking sheets for CMP Division.,Mid Level,Mentor, OH 44060,0,0
105,The Christian Broadcasting Network,Digital Data Analyst,Remote, 19 days ago,Full-time,"Document analytics configurations for Google Analytics, Google BigQuery, and integrations to third party data sources.Hands on experience with ANSI-SQL.",Mid Level,Remote,,0,0
106,Internal Data Resources,Data Analyst,Remote,Hiring ongoing,Full-time,2+ years of SQL querying data and building data pipelines.Creating end-to-end data pipelines and ETL solutions to create accessible data sets.,Mid Level,Remote,,0,0
107,Liberty Mutual Insurance,"Data Analyst / Sr. Data Analyst, Remote",Remote,Posted4 days ago,$90000 - $142500 a year,"Requires critical thinking, data analysis, data profiling and data modeling experience.Generally, 2 – 5 years of professional experience.",Senior Level,Remote,,0,0
108,Tallon Recruiting and Staffing,Senior Data Analyst - Army HR,"Remote in Arlington, VA",Posted30+ days ago,,"Provides subject-matter expertise and data analysis for data transformation support.Manages efforts with the System Integrator, Functional Management Division,…",Senior Level,Remote in Arlington, VA,0,0
109,SECU Credit Union,Senior Data Analyst,"Remote in Linthicum, MD",Posted30+ days ago,Full-time,"The Senior Data Analyst will conduct exploratory data analysis, statistical analysis, data visualization predictive modeling and forecasting to produce…",Senior Level,Remote in Linthicum, MD,0,0
110,X2Logics,Sr. Data Analyst,Remote,PostedJust posted,$60 - $65 an hour,"We are looking for a data analyst who will be responsible for coordinating the changes to computer databases, test, and implement the database applying…",Senior Level,Remote,,0,0
111,Labcorp,Senior Clinical Content Analyst,"Durham, NC 27709",Posted30+ days ago,,"In addition to content development, the analyst will be responsible for maintaining clear and concise documentation of all algorithms, recommendations, and…",Senior Level,Durham, NC 27709,0,0
112,Envision,Sr. Business Analyst,Remote in Missouri,Posted4 days ago,,"Experience developing data and process flows.Implements strategies for gathering, reviewing and analyzing data requirements.",Senior Level,Remote in Missouri,,0,0
113,FrontierBPM,Senior Data and Reporting Analyst,Remote,Posted1 day ago,From $40 an hour,Data reporting: 5 years (Preferred).Integrates data from multiple sources to produce requested or required data elements.,Senior Level,Remote,,0,0
114,"Professional Technology Integration, Inc.",Sr. Data Analyst,"Atlanta, GA 30303 (Five Points area)",Posted15 days ago,,Understand data source systems and downstream data applications.Experience using extremely large data sets (Required 5 Years).,Senior Level,Atlanta, GA 30303 (Five Points area),0,0
